Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Occupancy	From
113	Spectrogram 1	1	151741.887937500	151742.015937500	20.0	500.0	1.0000	Band Limited Energy Detector
114	Waveform 1	1	151750.143937500	151750.367937500	20.0	500.0	1.0000	Band Limited Energy Detector
114	Spectrogram 1	1	151750.143937500	151750.367937500	20.0	500.0	1.0000	Band Limited Energy Detector
115	Waveform 1	1	151752.703937500	151752.831937500	20.0	500.0	1.0000	Band Limited Energy Detector
115	Spectrogram 1	1	151752.703937500	151752.831937500	20.0	500.0	1.0000	Band Limited Energy Detector
116	Waveform 1	1	151755.967937500	151756.223937500	20.0	500.0	1.0000	Band Limited Energy Detector
116	Spectrogram 1	1	151755.967937500	151756.223937500	20.0	500.0	1.0000	Band Limited Energy Detector
117	Waveform 1	1	151765.727937500	151766.143937500	20.0	500.0	1.0000	Band Limited Energy Detector
117	Spectrogram 1	1	151765.727937500	151766.143937500	20.0	500.0	1.0000	Band Limited Energy Detector
118	Waveform 1	1	151773.439937500	151773.695937500	20.0	500.0	1.0000	Band Limited Energy Detector
118	Spectrogram 1	1	151773.439937500	151773.695937500	20.0	500.0	1.0000	Band Limited Energy Detector
119	Waveform 1	1	151774.207937500	151774.463937500	20.0	500.0	1.0000	Band Limited Energy Detector
119	Spectrogram 1	1	151774.207937500	151774.463937500	20.0	500.0	1.0000	Band Limited Energy Detector
120	Waveform 1	1	151776.127937500	151776.351937500	20.0	500.0	1.0000	Band Limited Energy Detector
120	Spectrogram 1	1	151776.127937500	151776.351937500	20.0	500.0	1.0000	Band Limited Energy Detector
121	Waveform 1	1	151789.471937500	151789.727937500	20.0	500.0	1.0000	Band Limited Energy Detector
121	Spectrogram 1	1	151789.471937500	151789.727937500	20.0	500.0	1.0000	Band Limited Energy Detector
122	Waveform 1	1	151793.823937500	151794.079937500	20.0	500.0	1.0000	Band Limited Energy Detector
122	Spectrogram 1	1	151793.823937500	151794.079937500	20.0	500.0	1.0000	Band Limited Energy Detector
123	Waveform 1	1	151799.135937500	151799.231937500	20.0	500.0	1.0000	Band Limited Energy Detector
123	Spectrogram 1	1	151799.135937500	151799.231937500	20.0	500.0	1.0000	Band Limited Energy Detector
124	Waveform 1	1	151803.935937500	151804.127937500	20.0	500.0	1.0000	Band Limited Energy Detector
124	Spectrogram 1	1	151803.935937500	151804.127937500	20.0	500.0	1.0000	Band Limited Energy Detector
125	Waveform 1	1	151808.095937500	151808.287937500	20.0	500.0	1.0000	Band Limited Energy Detector
125	Spectrogram 1	1	151808.095937500	151808.287937500	20.0	500.0	1.0000	Band Limited Energy Detector
126	Waveform 1	1	151818.399937500	151818.495937500	20.0	500.0	1.0000	Band Limited Energy Detector
126	Spectrogram 1	1	151818.399937500	151818.495937500	20.0	500.0	1.0000	Band Limited Energy Detector
127	Waveform 1	1	151821.535937500	151821.663937500	20.0	500.0	1.0000	Band Limited Energy Detector
127	Spectrogram 1	1	151821.535937500	151821.663937500	20.0	500.0	1.0000	Band Limited Energy Detector
128	Waveform 1	1	151827.103937500	151827.359937500	20.0	500.0	1.0000	Band Limited Energy Detector
128	Spectrogram 1	1	151827.103937500	151827.359937500	20.0	500.0	1.0000	Band Limited Energy Detector
129	Waveform 1	1	151836.543937500	151836.671937500	20.0	500.0	1.0000	Band Limited Energy Detector
129	Spectrogram 1	1	151836.543937500	151836.671937500	20.0	500.0	1.0000	Band Limited Energy Detector
130	Waveform 1	1	151838.399937500	151838.623937500	20.0	500.0	1.0000	Band Limited Energy Detector
130	Spectrogram 1	1	151838.399937500	151838.623937500	20.0	500.0	1.0000	Band Limited Energy Detector
131	Waveform 1	1	151844.767937500	151844.895937500	20.0	500.0	1.0000	Band Limited Energy Detector
131	Spectrogram 1	1	151844.767937500	151844.895937500	20.0	500.0	1.0000	Band Limited Energy Detector
132	Waveform 1	1	151854.175937500	151854.527937500	20.0	500.0	1.0000	Band Limited Energy Detector
132	Spectrogram 1	1	151854.175937500	151854.527937500	20.0	500.0	1.0000	Band Limited Energy Detector
133	Waveform 1	1	151856.415937500	151856.575937500	20.0	500.0	1.0000	Band Limited Energy Detector
133	Spectrogram 1	1	151856.415937500	151856.575937500	20.0	500.0	1.0000	Band Limited Energy Detector
134	Waveform 1	1	151857.439937500	151857.855937500	20.0	500.0	0.8462	Band Limited Energy Detector
134	Spectrogram 1	1	151857.439937500	151857.855937500	20.0	500.0	0.8462	Band Limited Energy Detector
135	Waveform 1	1	151861.279937500	151861.439937500	20.0	500.0	1.0000	Band Limited Energy Detector
